d058.s043.t000	shelter.n.h.01
d004.s046.t000	hero.n.h.03.
d004.s046.t001	be.v.h.01: ['be someone or something','represent']
d004.s046.t002	represent.v.h.01
d004.s046.t003	pilgrim.n.h.01
d004.s046.t004	storied.a.h.01
d004.s046.t005	land.n.h.02
d004.s046.t006	east.n.h.02
d004.s046.t007	kind_of.r.h.01
d004.s046.t008	person.n.h.01.Explanation:The word "Faustus" in
d004.s046.t009	type.n.h.01 (a person of a specified kind)
d004.s046.t010	quote.v.h.01
d004.s046.t011	person.n.h.01.
d004.s046.t012	again.r.h.01
d004.s046.t013	even.r.h.01: ['in spite of; notwithstanding']
d004.s046.t014	pleasure.n.h.01
d004.s046.t015	garden.n.h.01
d004.s046.t016	non.r.h.01.
d004.s046.t017	cease.v.h.01
d004.s046.t018	painful.a.h.01
d004.s046.t019	search.n.h.01
d004.s046.t020	meaning.n.h.01
d004.s046.t021	life.n.h.01
d053.s006.t000	leave.v.h.02: ['move out of or depart from']
d053.s006.t001	farm.n.h.01
d053.s006.t002	work.n.h.01 : ['a job or occupation for which one is paid', 'the activity involved in
d053.s006.t003	locality.n.h.01
d053.s006.t004	short.a.h.01 : ['primarily temporal sense; indicating or being or seeming to be limited in
d053.s006.t005	notice.n.h.04: ['advance notification (usually written) of the intention to withdraw from an
d053.s006.t006	move.n.h.02
d053.s006.t007	mean.v.h.01
d053.s006.t008	loss.n.h.05
d053.s006.t009	capital.n.h.01.
relieve.v.11_example.1	lighten.v.h.01
d132.s053.t000	also.r.h.01
d132.s053.t001	god.n.h.01
d132.s053.t002	drive_out.v.h.01
d132.s053.t003	paradise.n.h.01
d132.s053.t004	remove.v.h.01
d132.s053.t005	far.r.h.01: ['at or to a great distance in space']
d132.s053.t006	tree.n.h.01
d132.s053.t007	life.n.h.01
d132.s053.t008	non.r.h.01
d132.s053.t009	envy.v.h.01
d132.s053.t010	tree.n.h.01
d132.s053.t011	life.n.h.01
d132.s053.t012	assert.v.h.01
d132.s053.t013	compassionate.v.h.01
d132.s053.t014	non.r.h.01
d132.s053.t015	desire.v.h.01
d132.s053.t016	continue.v.h.01.Explanation: The word "continue" in the given sentence refers
d132.s053.t017	evildoer.n.h.01
d132.s053.t018	ever.r.h.01
d132.s053.t019	sin.n.h.01.
d132.s053.t020	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d132.s053.t021	immortal.a.h.01
d132.s053.t022	evil.n.h.01
d132.s053.t023	interminable.a.h.01
d132.s053.t024	irremediable.a.h.01
providence.n.02_example.0	providence.n.h.02
d053.s018.t000	part-time.a.h.01
d053.s018.t001	farmer.n.h.01
d053.s018.t002	generally.r.h.01
d053.s018.t003	pay.v.h.01
d053.s018.t004	high.a.h.01: ['greater than normal in degree or intensity or amount']
d053.s018.t005	price.n.h.02
d053.s018.t006	full-time.a.h.01
d053.s018.t007	farmer.n.h.01
d053.s018.t008	buy.v.h.01
d053.s018.t009	small.a.h.01
d053.s018.t010	quantity.n.h.01
d132.s007.t000	history.n.h.01
d132.s007.t001	be.v.h.01
d132.s007.t002	alone.r.h.01
d132.s007.t003	each.a.h.01
d132.s007.t004	man.n.h.01
d132.s007.t005	recognize.v.h.02: ['be fully aware or cognizant of']
d132.s007.t006	ain.a.h.01
d132.s007.t007	history.n.h.01
d163.s057.t000	economic.a.h.01
d163.s057.t001	toll.n.h.01
d163.s057.t002	device.n.h.01
d163.s057.t003	quack.n.h.02.
d163.s057.t004	be.v.h.01
d163.s057.t005	important.a.h.01
d163.s057.t006	course.r.h.01
d070.s090.t000	wait.v.h.01
d070.s090.t001	pitcher.n.h.02.
d070.s090.t002	yell.v.h.01
d070.s090.t003	back.r.h.01 : ['at or to or toward the back or rear']
d078.s002.t000	twist.n.h.01: ['an unforeseen development', 'an interpretation of a text or action']
d078.s002.t001	lie.v.h.01
d078.s002.t002	use.v.h.01
d078.s002.t003	person.n.h.01.Explanation:The sentence describes Bing Crosby as
d078.s002.t004	voice.n.h.01
d078.s002.t005	soundtrack.n.h.01
d078.s002.t006	leading_man.n.h.01
d078.s002.t007	person.n.h.01
d078.s002.t008	mouth.v.h.02: ['articulate silently']
d078.s002.t009	words.n.h.01
d176.s001.t000	certainly.r.h.01
d176.s001.t001	non.r.h.01
d176.s001.t002	location.n.h.01
d176.s001.t003	play.v.h.03 : ['perform music on (a musical instrument)', 'pretend to have certain qualities
d176.s001.t004	countless.a.h.01
d176.s001.t005	recital.n.h.02
d176.s001.t006	thursday.n.h.01
d176.s001.t007	night.n.h.01
d176.s001.t008	celebrate.v.h.02 ('have a celebration')
d176.s001.t009	20th.a.h.01
d176.s001.t010	season.n.h.01
d176.s001.t011	group.n.h.01
d176.s001.t012	play.v.h.03 : ['perform music on (a musical instrument)', 'pretend to have certain qualities
d176.s001.t013	ain.a.h.01
d176.s001.t014	slashing.a.h.01
d176.s001.t015	demon-ridden.a.h.01
d176.s001.t016	cadenza.n.h.01
d176.s001.t017	melt.v.h.01: ['become less clearly visible or distinguishable; disappear gradually or seemingly', '
d176.s001.t018	high.a.h.03: ['used of sounds and voices; high in pitch or frequency']
d176.s001.t019	pale.a.h.01
d176.s001.t020	pure.a.h.01
d176.s001.t021	lovely.a.h.01
d176.s001.t022	The correct answer is song.n.h.02.
d176.s001.t023	violinist.n.h.01
d176.s001.t024	unlock.v.h.01
d176.s001.t025	heart.n.h.01
d176.s001.t026	music.n.h.01
d176.s001.t027	forever.r.h.01
d176.s001.t028	find.v.h.02 : ['discover or determine the existence, presence, or fact of','make
d176.s001.t029	closed.a.h.01
d015.s020.t000	most.r.h.01
d015.s020.t001	likely.a.h.01
d015.s020.t002	producer.n.h.01: ['something that produces']
d015.s020.t003	detectable.a.h.01
d015.s020.t004	radio.n.h.01
d015.s020.t005	line.n.h.08 : ['a single frequency (or very narrow band) of radiation in a spectrum']
d015.s020.t006	spectrum.n.h.01
d015.s020.t007	be.v.h.01
d015.s020.t008	light.a.h.02
d015.s020.t009	diatomic.a.h.01
d015.s020.t010	The correct homonym key for the target word "hydrides" in the given context is: hydride.n.
d015.s020.t011	somewhat.r.h.01
d015.s020.t012	less.r.h.01
d015.s020.t013	likely.a.h.01
d015.s020.t014	source.n.h.01
d015.s020.t015	be.v.h.01
d015.s020.t016	heavy.a.h.03 : ['being or containing an isotope with greater than average atomic mass or weight
d015.s020.t017	The correct homonym key for the target word "hydrides" in the given context is: hydride.n.
bank.n.01_example.0	bank.n.h.01
d137.s036.t000	2.a.h.01
d137.s036.t001	revenue_enhancement.n.h.01
d137.s036.t002	revision.n.h.01
d137.s036.t003	bill.n.h.02.
d137.s036.t004	pass.v.h.02 : ['make laws, bills, etc. or bring into effect by legislation']
d167.s072.t000	one.a.h.01 : ['indefinite in time']
d167.s072.t001	week.n.h.01
d167.s072.t002	convention.n.h.01: ['a large formal assembly']
d167.s072.t003	person.n.h.01
d167.s072.t004	porch.n.h.01
d167.s072.t005	country.n.h.04
d167.s072.t006	home.n.h.01
d167.s072.t007	hudson.n.h.03.
d167.s072.t008	gazing belongs to gaze.v.h.01: ['look at with fixed eyes']
d167.s072.t009	opposite.a.h.01
d167.s072.t010	shore.n.h.01
d147.s057.t000	strawberry.n.h.01
d147.s057.t001	dec.n.h.01
d147.s057.t002	pansy.n.h.01.
d147.s057.t003	be.v.h.01 : ['happen, occur, take place', 'be identical or equivalent to']
d147.s057.t004	far.r.h.01: ['at or to a great distance']
d147.s057.t005	more.r.h.01
d147.s057.t006	exciting.a.h.01
d147.s057.t007	feb.n.h.01
d147.s057.t008	may.n.h.01
d031.s027.t000	thus.r.h.01
d031.s027.t001	context.n.h.01
d031.s027.t002	be.v.h.01: ['happen, occur, take place', 'have an existence, be ext
d031.s027.t003	discussion.n.h.01
d031.s027.t004	snow.n.h.02
d031.s027.t005	mention.n.h.01
d031.s027.t006	local.a.h.01
d031.s027.t007	condition.n.h.01
d031.s027.t008	be.v.h.01
d031.s027.t009	new.a.h.01
d031.s027.t010	dominant.a.h.01
d031.s027.t011	stress.n.h.03: ['special emphasis attached to something', 'difficulty that causes worry or emotional
d031.s027.t012	probably.r.h.01
d031.s027.t013	be.v.h.01
d031.s027.t014	here.r.h.01
d031.s027.t015	rarely.r.h.01
d031.s027.t016	snow.v.h.01
d031.s027.t017	here.r.h.01
d031.s027.t018	context.n.h.01
d031.s027.t019	be.v.h.01: ['happen, occur, take place', 'have an existence, be ext
d031.s027.t020	discussion.n.h.01
d031.s027.t021	local.a.h.01
d031.s027.t022	atmospheric_condition.n.h.01
d031.s027.t023	mention.n.h.01
d031.s027.t024	snow.n.h.02
d031.s027.t025	dominant.a.h.01
d031.s027.t026	stress.n.h.03: ['special emphasis attached to something', 'difficulty that causes worry or emotional
d031.s027.t027	probably.r.h.01
d031.s027.t028	be.v.h.01
d031.s027.t029	snow.v.h.01
death.n.05_example.1	last.n.h.01
d170.s034.t000	see.v.h.01: ['see or watch']
d170.s034.t001	completely.r.h.01
d170.s034.t002	masculine.a.h.01
d170.s034.t003	evidently.r.h.01
d170.s034.t004	virile.a.h.01
d170.s034.t005	man.n.h.01
d170.s034.t006	perform.v.h.01
d170.s034.t007	incredible.a.h.01
d170.s034.t008	grace.n.h.02: ['elegance and beauty of movement or expression']
d256.s005.t000	recount.v.h.01
d256.s005.t001	furnish.v.h.01
d256.s005.t002	be.v.h.01
d050.s081.t000	mean.v.h.01
d050.s081.t001	rattlesnake.n.h.01
d050.s081.t002	gag.n.h.01
d165.s024.t000	express.v.h.01.
d165.s024.t001	remark.n.h.01
d165.s024.t002	be.v.h.01: ['happen, occur, take place']
d165.s024.t003	go_on.v.h.01
d165.s024.t004	time.n.h.06 : ['the continuum of experience in which events pass from the future through the present
d165.s024.t005	course.r.h.01
d165.s024.t006	non.r.h.01.
d165.s024.t007	exist.v.h.01
d165.s024.t008	come_on.v.h.01
d165.s024.t009	scene.n.h.01
d140.s001.t000	thin.a.h.01
d140.s001.t001	leg.n.h.01
d140.s001.t002	twitch.v.h.01
d140.s001.t003	convulsively.r.h.01
d140.s001.t004	then.r.h.01
d140.s001.t005	person.n.h.01
d140.s001.t006	feel.v.h.03
d140.s001.t007	little.a.h.01
d140.s001.t008	body.n.h.05: ['the main mass of a thing', 'an individual 3-dimensional object
d140.s001.t009	stiffen.v.h.01
d140.s001.t010	arm.n.h.01
d140.s001.t011	hear.v.h.01
d140.s001.t012	one.a.h.01
d140.s001.t013	stifled.a.h.02 : ['choked, suffocated']
d140.s001.t014	sound.n.h.01.
d001.s030.t000	leave.v.h.01: ['go and leave behind, either intentionally or by neglect or forgetfulness']
d001.s030.t001	gold.n.h.01.Explanation: In the context of the sentence, "gold"
d001.s030.t002	express.v.h.01.
d001.s030.t003	surprise.n.h.01
d001.s030.t004	walk.v.h.01: ["traverse or cover by walking"]
d001.s030.t005	scoop.v.h.01
fold.v.01_example.0	fold.v.h.01
d324.s061.t000	baptise.v.h.01
d324.s061.t001	go_up.v.h.01 : ['move upward']
d324.s061.t002	open.v.h.01: ['become open']
d324.s061.t003	see.v.h.01: ['perceive by sight or have the power to perceive by sight', '
d324.s061.t004	descend.v.h.01.Explanation: The word "descending" in the given sentence
d324.s061.t005	light.v.h.01
d128.s034.t000	function.n.h.02
d128.s034.t001	religion.n.h.01
d128.s034.t002	man.n.h.01
d128.s034.t003	always.r.h.01
d128.s034.t004	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d128.s034.t005	outer.a.h.01
d128.s034.t006	social.a.h.01
d128.s034.t007	function.n.h.02
d128.s034.t008	community.n.h.01
d128.s034.t009	society.n.h.01
d289.s011.t000	file.v.h.01.
tab.n.04_example.0	tab.n.h.03.
d061.s067.t000	force.n.h.05: ['a unit that is part of some military service', 'group of people having
d061.s067.t001	flank.v.h.01
d061.s067.t002	company.n.h.02
d061.s067.t003	take_up.v.h.01: ['occupy or take on', 'accept']
d061.s067.t004	position.n.h.02: ['a point occupied by troops for tactical reasons', 'the spatial property of
d061.s067.t005	hill.n.h.06
d061.s067.t006	rear.n.h.01
d119.s009.t000	be.v.h.01: ['happen, occur, take place', 'be identical or equivalent to',
d119.s009.t001	public.a.h.01
d119.s009.t002	park.n.h.02
d119.s009.t003	city.n.h.01
d119.s009.t004	ordinance.n.h.01
d119.s009.t005	statue.n.h.01
d119.s009.t006	crawl.v.h.01
d088.s009.t000	true.a.h.01
d088.s009.t001	first.a.h.01
d088.s009.t002	collage.n.h.01
d088.s009.t003	look.v.h.01: ["have a certain outward or facial expression", "accord in appearance with
d088.s009.t004	more.a.h.01: ["(comparative of `much' used with mass nouns)
d088.s009.t005	analytical_cubism.n.h.01
d088.s009.t006	person.n.h.01.
d088.s009.t007	confirm.v.h.01
d088.s009.t008	date.n.h.01.
d088.s009.t009	assign.v.h.01: ['attribute or give', 'decide as to where something belongs in a scheme
d158.s044.t000	state_department.n.h.01
d158.s044.t001	official.n.h.01
d158.s044.t002	refuse.v.h.01
d158.s044.t003	show.v.h.01: ['make visible or noticeable', 'indicate a place, direction, person
d158.s044.t004	pass.n.h.01.
d158.s044.t005	bound.n.h.02
d158.s044.t006	drive.v.h.01: ['travel or be transported in a vehicle', 'cause to move
d158.s044.t007	2.a.h.01
d158.s044.t008	block.n.h.06: ["an obstruction in a pipe or tube", "the act of obstruct
d158.s044.t009	location.n.h.01.Explanation: "East Berlin" refers to a specific ge
d158.s044.t010	military.a.h.01
d158.s044.t011	escort.n.h.01
d158.s044.t012	non.r.h.01.
d158.s044.t013	avail.v.h.01
d069.s021.t000	fateful.a.h.01
d069.s021.t001	day.n.h.01
d069.s021.t002	great.a.h.01
d069.s021.t003	wave.n.h.01
d069.s021.t004	approach.v.h.01
d069.s021.t005	japan.n.h.01
d069.s021.t006	fisherman.n.h.01
d069.s021.t007	notice.v.h.01
d069.s021.t008	unusual.a.h.01
d069.s021.t009	swell.n.h.01
ruck.n.01_example.0	ruck.n.h.01
d109.s051.t000	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d109.s051.t001	stone.n.h.01.
d109.s051.t002	tibetan.n.h.01
d109.s051.t003	The corresponding homonym key for the target word "Buddha" in the given sentence is: buddha.n
d109.s051.t004	pick_up.v.h.01: ['take up by hand', 'buy casually or spontane
d109.s051.t005	bombay.n.h.01
d109.s051.t006	at_times.r.h.01
d109.s051.t007	make.v.h.01: ['make or cause to be or to become', 'give rise to;
d109.s051.t008	merit.n.h.01
d109.s051.t009	married_woman.n.h.01
d109.s051.t010	garland.v.h.01
d109.s051.t011	flower.n.h.01
d109.s051.t012	lay.v.h.01
d109.s051.t013	a\_couple\_of.a.h.01
d109.s051.t014	penny.n.h.01
d109.s051.t015	lap.n.h.01
d154.s032.t000	person.n.h.01.
d154.s032.t001	have.v.h.01: ['have ownership or possession of', 'go through (mental or physical states
d154.s032.t002	no.a.h.01
d154.s032.t003	doubt.n.h.01
d154.s032.t004	person.n.h.01
d154.s032.t005	village.n.h.01
d154.s032.t006	burst.v.h.01
d154.s032.t007	information.n.h.01
d154.s032.t008	ready.a.h.01
d154.s032.t009	impart.v.h.01
d154.s032.t010	customary.a.h.01
d154.s032.t011	gusto.n.h.01
d154.s032.t012	liberally.r.h.01
d154.s032.t013	embellish.v.h.01
d154.s032.t014	imagination.n.h.01
d060.s011.t000	farmer.n.h.01.
d060.s011.t001	purpose.n.h.01
d060.s011.t002	have.v.h.01: ['have ownership or possession of', 'have left','serve oneself to
d060.s011.t003	feb.n.h.01
d060.s011.t004	file.v.h.01
d060.s011.t005	pay.v.h.01
d060.s011.t006	revenue_enhancement.n.h.01
d060.s011.t007	in_full.r.h.01
d060.s011.t008	calendar_year.n.h.01
temporal.a.03_example.0	temporal.a.h.01
d085.s074.t000	work.v.h.01
d085.s074.t001	2.a.h.01
d085.s074.t002	hour.n.h.01
d085.s074.t003	day.n.h.05
d085.s074.t004	each.a.h.01
d085.s074.t005	model.n.h.03
d085.s074.t006	send.v.h.01
d085.s074.t007	rabbi.n.h.01
d105.s099.t000	organic.a.h.01
d105.s099.t001	concentration.n.h.01
d105.s099.t002	inflowing.a.h.01
d105.s099.t003	raw.a.h.01.Explanation: In the context of the given sentence, the word
d105.s099.t004	sewage.n.h.01
d105.s099.t005	range.v.h.01: ['range or extend over; occupy a certain area']
d105.s099.t006	mg.n.h.03
d105.s099.t007	l.n.h.01 (liters)
d105.s099.t008	average.a.h.01
d105.s099.t009	mg.n.h.03
d105.s099.t010	l.n.h.01 (liters)
kip.n.01_example.0	kip.n.h.01.
d089.s092.t000	engineer.n.h.01
d089.s092.t001	frantic.a.h.01
d089.s092.t002	attempt.n.h.01
d089.s092.t003	achieve.v.h.01
d089.s092.t004	maximal.a.h.01
d089.s092.t005	dynamic.a.h.01
d089.s092.t006	impact.n.h.01
d089.s092.t007	deafening.a.h.01
d089.s092.t008	brilliance.n.h.02
d089.s092.t009	recording.n.h.01
d089.s092.t010	sound.v.h.01.
d089.s092.t011	doctor.v.h.01.
d089.s092.t012	super.a.h.01
d089.s092.t013	high_fidelity.n.h.01
d066.s030.t000	end.n.h.01: ['the point in time at which something ends']
d066.s030.t001	work.n.h.01
d066.s030.t002	day.n.h.02
d066.s030.t003	personnel.n.h.01
d066.s030.t004	man.n.h.01
d066.s030.t005	take.v.h.01: ['receive willingly something given or offered', 'engage for service under
d066.s030.t006	applicant.n.h.01
d066.s030.t007	one_after_another.r.h.01
d066.s030.t008	ask.v.h.01
d066.s030.t009	sit.v.h.01: ['be seated', 'take a seat']
d066.s030.t010	receptionist.n.h.01
d066.s030.t011	desk.n.h.01
d066.s030.t012	then.r.h.01
d066.s030.t013	play.v.h.01 : ['act or have an effect in a specified way or with a specific effect or
d066.s030.t014	role.n.h.01
d066.s030.t015	number.n.h.01
d066.s030.t016	people.n.h.01
d066.s030.t017	come.v.h.01: ['reach a destination; arrive by movement or progress', 'happen as a
d066.s030.t018	receptionist.n.h.01
d066.s030.t019	number.n.h.01
d066.s030.t020	query.n.h.01
d066.s030.t021	number.n.h.01
d066.s030.t022	purpose.n.h.01
d150.s002.t000	be.v.h.01 : ['happen, occur, take place']
d150.s002.t001	very.r.h.01
d150.s002.t002	learned.a.h.01
d150.s002.t003	man.n.h.01
d150.s002.t004	say.v.h.01
d150.s002.t005	arouet.n.h.01
d150.s002.t006	bandit.n.h.01
d097.s073.t000	express_joy.v.h.01
d097.s073.t001	suddenly.r.h.01
d097.s073.t002	feel.v.h.01
d097.s073.t003	surge.n.h.01
d097.s073.t004	power.n.h.01
d097.s073.t005	tell.v.h.01
d097.s073.t006	hold.n.h.01.Explanation: The word "hold" in the given sentence refers
d097.s073.t007	see.v.h.01: ['perceive by sight or have the power to perceive by sight', '
d097.s073.t008	receive.v.h.01
d097.s073.t009	utmost.a.h.01
d097.s073.t010	respect.n.h.01
d097.s073.t011	attention.n.h.01
d173.s000.t000	worth.a.h.01
d173.s000.t001	The corresponding homonym key for the word "dwelling" in the given sentence is: dwell.v.h.0
d173.s000.t002	detail.n.h.01
d173.s000.t003	crisis.n.h.01
d173.s000.t004	story.n.h.01
d173.s000.t005	bring_together.v.h.01
d173.s000.t006	number.n.h.01
d173.s000.t007	characteristic.a.h.01
d173.s000.t008	element.n.h.01
d173.s000.t009	make.v.h.01
d173.s000.t010	curious.a.h.01
d173.s000.t011	riddle.v.h.01
d173.s000.t012	compound.n.h.01
d173.s000.t013	obscurely.r.h.01
d173.s000.t014	centrally.r.h.01
d173.s000.t015	significant.a.h.01
d173.s000.t016	person.n.h.01.
d173.s000.t017	work.n.h.01
d001.s085.t000	go_on.v.h.01
d001.s085.t001	personal.a.h.01
d001.s085.t002	bequest.n.h.01
d001.s085.t003	list.n.h.01
d001.s085.t004	name.n.h.01
d001.s085.t005	largely.r.h.01
d001.s085.t006	unknown.a.h.01
d090.s041.t000	be.v.h.01: ['happen, occur, take place']
d090.s041.t001	far.r.h.01
d090.s041.t002	more.a.h.01: ["(comparative of `many' used with count nouns) quant
d090.s041.t003	unreconstructed.a.h.01
d090.s041.t004	north.n.h.01.Explanation: In the given sentence, "North" refers
d090.s041.t005	like.v.h.01
d090.s041.t006	believe.v.h.01
d007.s086.t000	then.r.h.01
d007.s086.t001	drive.v.h.01: ['proceed along in a vehicle']
d007.s086.t002	on.r.h.01
d007.s086.t003	There is no target word "was" in the given sentence. Therefore, no answer is required.
d007.s086.t004	no.r.h.01
d007.s086.t005	road.n.h.01
d007.s086.t006	traverse.v.h.01
d007.s086.t007	dry.a.h.01
d007.s086.t008	rice.n.h.02
d007.s086.t009	field.n.h.08 : ['extensive tract of level open land']
d007.s086.t010	bounce.v.h.01: ['move up and down repeatedly']
d007.s086.t011	squat.a.h.01
d007.s086.t012	earth.n.h.02
d007.s086.t013	wall.n.h.01.Explanation: The word "walls" in the sentence refers
d181.s027.t000	cell.n.h.01
d181.s027.t001	wash.v.h.01
d181.s027.t002	3.a.h.01
d181.s027.t003	time.n.h.01: ['a period of time considered as a resource under your control and sufficient to accomplish
d181.s027.t004	saline.n.h.01
d181.s027.t005	homo.n.h.01.
d181.s027.t006	blood_serum.n.h.01
d181.s027.t007	add.v.h.01 : ['make an addition (to)']
d181.s027.t008	cell.n.h.01
d181.s027.t009	resuspend.v.h.01
d181.s027.t010	mixture.n.h.01
d181.s027.t011	centrifugate.v.h.01
d181.s027.t012	1000.a.h.01
d181.s027.t013	rev.n.h.01
d181.s027.t014	1.a.h.05 : ['a unit of angular measurement equal to two right angles; 1/
d181.s027.t015	min.n.h.03.
d181.s027.t016	examine.v.h.01
d181.s027.t017	agglutination.n.h.01
d116.s046.t000	man.n.h.01
d116.s046.t001	stop\_dead.v.h.01
d116.s046.t002	glower.v.h.01
d116.s046.t003	person.n.h.01
d155.s006.t000	grand_jury.n.h.01
d155.s006.t001	comment.v.h.01
d155.s006.t002	number.n.h.01
d155.s006.t003	other.a.h.01
